NELE,lon,lat,Area_m2
1,-83.18076377,42.08201764,1863362
2,-83.17565043,42.0865443,1708129.3
3,-83.16473333,42.08186699,1955828.8
4,-83.1588,42.08630032,2056506.7
5,-83.1464,42.08616698,2076376
6,-83.14016667,42.08163365,2202684.9
7,-83.12776667,42.08596698,2021020.2
8,-83.12163333,42.08130032,2102490.9
9,-83.17554667,42.07314028,1686937.7
10,-83.16416667,42.0691336,1903589.3
11,-83.15846667,42.07333358,1698515.8
12,-83.18123667,42.06896361,1802992.1
13,-83.1463,42.07323357,1924466.9
14,-83.13998667,42.06920357,1766202.5
15,-83.12772,42.0729369,1812277.6
16,-83.12174333,42.06900689,1748352.2
17,-83.175695,42.06121629,1498530.1
18,-83.16397167,42.06142631,1592731.2
19,-83.15783067,42.05800018,1634962.3
20,-83.14593853,42.05816151,1634991.9
21,-83.1400662,42.06175763,1578818.2
22,-83.18144593,42.05762707,1612953.5
23,-83.1279562,42.06169429,1618780.5
24,-83.12193623,42.05825762,1534196.4
25,-83.17720947,42.05080767,1458352.5
26,-83.16755843,42.04657184,1449608.7
27,-83.1599639,42.0499418,1950557
28,-83.15020433,42.04598911,1938581.4
29,-83.1420173,42.05046833,1824160.2
30,-83.13137973,42.04585314,2201329.5
31,-83.123301,42.05004642,2124550.8
32,-83.1892941,42.04617367,1056725.6
33,-83.18254763,42.04564431,1493456.4
34,-83.11073953,42.04677835,2687335.8
35,-83.17773007,42.03880859,1078506.6
36,-83.1686868,42.0396542,1418466.6
37,-83.1643138,42.03365256,1613105.4
38,-83.156133,42.0321341,1552886
39,-83.1490979,42.03747196,1963776.1
40,-83.14094747,42.03392381,1500940.7
41,-83.13141633,42.03782568,1913514.8
42,-83.12465077,42.03174313,1938115.2
43,-83.11464097,42.03172336,2196135.4
44,-83.1067125,42.03865198,2546572.7
45,-83.1956565,42.04155934,1150951.9
46,-83.19668903,42.03637431,1598861.3
47,-83.18941517,42.03200042,1262781.7
48,-83.181116,42.03302738,1194695.9
49,-83.0951834,42.03370189,2552354.9
50,-83.0852158,42.03627679,2927943.2
51,-83.17667283,42.02726479,1213142.6
52,-83.1689139,42.02704426,1117829
53,-83.16598643,42.02046644,1028771.8
54,-83.15898453,42.01827162,1333629.4
55,-83.1537312,42.02333099,1461346.7
56,-83.14569683,42.02051399,1564008.8
57,-83.1399482,42.02576888,1482362.8
58,-83.1304755,42.02416954,1665389.5
59,-83.12694927,42.01739982,1813262.3
60,-83.1151054,42.01637299,2364553.8
61,-83.10862183,42.02312306,2222946
62,-83.0970343,42.02367397,2372860.9
63,-83.08907337,42.0163448,2839458.3
64,-83.07648943,42.0179824,2783850.4
65,-83.07448277,42.02788664,2778497.3
66,-83.0631865,42.03015844,3039368.1
67,-83.1716238,42.01546831,1069093.3
68,-83.1713491,42.00948812,1062148.6
69,-83.16412287,42.00668146,1297240.2
70,-83.15739567,42.01046683,1234483.6
71,-83.1491227,42.00696547,1704392.2
72,-83.1426772,42.01195331,1654727.4
73,-83.13340233,42.01043845,1826641.6
